employment_rate_overall,gross_monthly_mean,university
100,3840,National University of Singapore
100,4925,National University of Singapore
95.5,4593,National University of Singapore
93.8,4005,National University of Singapore
97.8,4093,National University of Singapore
92.8,5571,National University of Singapore
95.9,4330,National University of Singapore
100,4881,National University of Singapore
100,4199,National University of Singapore
86.2,3245,National University of Singapore
88.3,3243,National University of Singapore
95.3,3494,National University of Singapore
99.5,5218,National University of Singapore
93.5,3314,National University of Singapore
98.8,3612,National University of Singapore
82.6,3575,National University of Singapore
96,4197,National University of Singapore
94.7,7139,National University of Singapore
92.9,4732,National University of Singapore
88.4,3332,National University of Singapore
83.3,3167,Singapore Institute of Technology
81.3,3051,Singapore Institute of Technology
91.3,3791,Singapore Institute of Technology
100,4474,Singapore Institute of Technology
93.7,3239,Singapore Institute of Technology
97.5,4319,Singapore Institute of Technology
100,4188,Singapore Institute of Technology
92.2,3748,Singapore Institute of Technology
92.5,3484,Singapore Institute of Technology
93.8,3976,Singapore Institute of Technology
100,3811,Singapore Institute of Technology
89.1,3102,Singapore Institute of Technology
95.2,4024,Singapore Institute of Technology
93,2978,Singapore Institute of Technology
82.2,3463,Singapore Institute of Technology
91.3,3542,Singapore Institute of Technology
100,3393,Singapore Institute of Technology
80,3269,Singapore Institute of Technology
100,3466,Singapore Institute of Technology
98.3,3498,Singapore Institute of Technology
100,3772,Singapore Institute of Technology
81.8,3471,Singapore Institute of Technology
81,2852,Singapore Institute of Technology
78.7,2832,Singapore Institute of Technology
87.1,2760,Singapore Institute of Technology
77.1,3597,Singapore Institute of Technology
82.4,3993,Singapore Institute of Technology
97,3722,Singapore Institute of Technology
93.2,3793,Singapore Institute of Technology
92.3,4366,Singapore Institute of Technology
80.2,3823,Singapore Institute of Technology
96.4,3802,Singapore Management University
97.9,4431,Singapore Management University
91,4181,Singapore Management University
93,4614,Singapore Management University
87.1,4159,Singapore Management University
94.2,4520,Singapore Management University
95.1,4549,Singapore Management University
98,5212,Singapore Management University
92.2,3629,Singapore Management University
92.7,3742,Singapore Management University
99.1,5064,Singapore Management University
98.6,5324,Singapore Management University
87.1,2975,Singapore University of Social Sciences
91.1,2900,Singapore University of Social Sciences
88.6,3722,Singapore University of Social Sciences
88.3,3169,Singapore University of Social Sciences
84.2,4042,Singapore University of Technology and Design
88.8,4636,Singapore University of Technology and Design
89.9,4082,Singapore University of Technology and Design
100,3985,Singapore University of Technology and Design
96,3228,Nanyang Technological University
97.6,4704,Nanyang Technological University
95.2,4113,Nanyang Technological University
97.4,5537,Nanyang Technological University
91.2,4284,Nanyang Technological University
89.1,3473,Nanyang Technological University
95,3948,Nanyang Technological University
95.7,3495,Nanyang Technological University
97.2,4136,Nanyang Technological University
92.2,4558,Nanyang Technological University
100,4516,Nanyang Technological University
94.5,4004,Nanyang Technological University
90.2,3444,Nanyang Technological University
96,4208,Nanyang Technological University
90.8,3646,Nanyang Technological University
91.5,3755,Nanyang Technological University
91.7,3977,Nanyang Technological University
90.4,2925,Nanyang Technological University
83.8,3310,Nanyang Technological University
94.9,3440,Nanyang Technological University
91.8,3926,Nanyang Technological University
90.9,3561,Nanyang Technological University
87.2,3644,Nanyang Technological University
95.8,3797,Nanyang Technological University
96.6,3472,Nanyang Technological University
96.3,3580,Nanyang Technological University
83.8,3433,Nanyang Technological University
92.5,4043,Nanyang Technological University
95.4,3598,Nanyang Technological University
88.9,3401,Nanyang Technological University
94.7,2969,Nanyang Technological University
91.9,3345,Nanyang Technological University
95.5,3657,Nanyang Technological University
92.4,3823,Nanyang Technological University
87.1,3949,Nanyang Technological University
92.6,3719,Nanyang Technological University
91.5,3661,Nanyang Technological University
100,3682,Nanyang Technological University
100,3744,Nanyang Technological University
100,5387,Nanyang Technological University
90.4,3868,National University of Singapore
93.1,3586,National University of Singapore
93.5,3666,National University of Singapore
100,4280,National University of Singapore
95.8,3577,National University of Singapore
97,4155,National University of Singapore
95.5,3739,National University of Singapore
91,4370,National University of Singapore
91.3,4584,National University of Singapore
100,3572,National University of Singapore
97.2,4337,National University of Singapore
90.3,3922,National University of Singapore
94.2,3946,National University of Singapore
91.8,5009,National University of Singapore
86,3297,National University of Singapore
93.1,3723,National University of Singapore
80,4625,National University of Singapore
99.3,3751,National University of Singapore
100,4456,National University of Singapore
96.3,5043,National University of Singapore
94.9,4579,National University of Singapore
90.9,4443,National University of Singapore
96.8,4050,National University of Singapore
97.1,5735,National University of Singapore
90.9,4746,National University of Singapore
98.6,4764,National University of Singapore
98,5094,National University of Singapore
94,4058,National University of Singapore
90.3,3417,National University of Singapore
92.2,3400,National University of Singapore
95.1,3682,National University of Singapore
100,5306,National University of Singapore
97.4,3489,National University of Singapore
98.5,3616,National University of Singapore
69.2,3238,National University of Singapore
90.5,4370,National University of Singapore
92.6,5798,National University of Singapore
93.7,4977,National University of Singapore
92.9,3409,National University of Singapore
100,3575,Singapore Institute of Technology
97.1,2862,Singapore Institute of Technology
97.7,3974,Singapore Institute of Technology
97.6,4399,Singapore Institute of Technology
97.4,3120,Singapore Institute of Technology
100,4237,Singapore Institute of Technology
96.2,4366,Singapore Institute of Technology
94.2,3749,Singapore Institute of Technology
98.1,3702,Singapore Institute of Technology
97.1,4203,Singapore Institute of Technology
92.9,4135,Singapore Institute of Technology
89.9,3148,Singapore Institute of Technology
95.7,4114,Singapore Institute of Technology
95.2,3084,Singapore Institute of Technology
95.7,3242,Singapore Institute of Technology
97.9,3603,Singapore Institute of Technology
100,3821,Singapore Institute of Technology
94.6,3443,Singapore Institute of Technology
78.6,3244,Singapore Institute of Technology
92.3,4160,Singapore Institute of Technology
100,3685,Singapore Institute of Technology
100,3542,Singapore Institute of Technology
98.2,3518,Singapore Institute of Technology
100,3380,Singapore Institute of Technology
97.9,3518,Singapore Institute of Technology
96.2,3725,Singapore Institute of Technology
93.3,3387,Singapore Institute of Technology
