"employment_rate_overall","gross_monthly_mean","category"
92.6,3776,"Business"
100,4572,"Business"
95.7,3732,"Business"
96.6,4424,"Business"
95.2,3522,"Business"
97.6,3683,"Business"
93.5,4499,"Business"
92.1,2991,"Business"
86.5,2929,"Business"
91.6,4133,"Business"
97.4,4544,"Business"
97.9,4359,"Business"
93.8,3797,"Business"
94.4,4562,"Business"
100,4925,"Business"
95.5,4593,"Business"
93.8,4005,"Business"
97.8,4093,"Business"
100,4881,"Business"
89.1,3102,"Business"
81,2852,"Business"
91,4181,"Business"
93,4614,"Business"
97.6,4704,"Business"
95.2,4113,"Business"
97.4,5537,"Business"
96.3,5043,"Business"
94.9,4579,"Business"
90.9,4443,"Business"
96.8,4050,"Business"
98,5094,"Business"
89.9,3148,"Business"
86,2675,"Business"
95.8,4293,"Business"
97.5,4688,"Business"
99.2,5173,"Business"
96.2,4362,"Business"
93.8,6578,"Business"
94.7,5567,"Business"
98.1,4950,"Business"
100,3515,"Business"
97,4194,"Business"
100,5603,"Business"
96.1,3216,"Business"
91.9,2817,"Business"
96.6,4371,"Business"
96.6,4855,"Business"
93.5,4372,"Business"
87.5,3615,"Computing"
88.9,3377,"Computing"
92.4,3953,"Computing"
88.9,3320,"Computing"
89.2,3322,"Computing"
92.9,3431,"Computing"
82.1,3129,"Computing"
90.6,3712,"Computing"
85.7,3386,"Computing"
95.5,3789,"Computing"
100,4395,"Computing"
92.6,3291,"Computing"
97,3890,"Computing"
90.3,3301,"Computing"
97.2,3699,"Computing"
95.6,3391,"Computing"
94.4,4407,"Computing"
96.3,4385,"Computing"
94,3969,"Computing"
89.8,3704,"Computing"
93.5,4628,"Computing"
94.5,4192,"Computing"
95.8,3724,"Computing"
100,4572,"Computing"
96.9,4658,"Computing"
98.4,4472,"Computing"
94.7,3996,"Computing"
94.4,4562,"Computing"
92.8,5571,"Computing"
95.9,4330,"Computing"
92.3,4366,"Computing"
97.4,5537,"Computing"
97.1,5735,"Computing"
90.9,4746,"Computing"
98.6,4764,"Computing"
98.6,4530,"Computing"
93.8,6578,"Computing"
99.1,6002,"Computing"
100,5095,"Computing"
97.5,5217,"Computing"
100,4106,"Dental"
100,4054,"Dental"
100,4083,"Dental"
100,4221,"Dental"
100,4143,"Dental"
100,4228,"Dental"
100,4068,"Dental"
100,4280,"Dental"
100,4286,"Dental"
71.9,3433,"Environmental Studies"
83.8,3399,"Environmental Studies"
88.7,3419,"Environmental Studies"
84.2,3385,"Environmental Studies"
88.4,3332,"Environmental Studies"
92.9,3409,"Environmental Studies"
97.4,3658,"Environmental Studies"
87.1,2975,"Human Resource"
90.6,3051,"Human Resource"
95.6,3412,"Human Resource"
98.8,5099,"Law1"
100,5246,"Law1"
100,5617,"Law1"
98.2,5247,"Law1"
97.8,5332,"Law1"
97.7,5571,"Law1"
96.9,4910,"Law1"
99,4997,"Law1"
100,5313,"Law1"
97.7,4898,"Law1"
95.8,4915,"Law1"
96.7,5095,"Law1"
95.8,5121,"Law1"
97.6,4941,"Law1"
97.9,5287,"Law1"
97.3,5263,"Law1"
92.7,4856,"Law1"
94.4,5256,"Law1"
95.7,5160,"Law1"
99.1,5064,"Law1"
98.6,5324,"Law1"
91.8,5009,"Law1"
95.5,4804,"Law1"
97,5141,"Law1"
96.5,5627,"Law1"
100,5433,"Law1"
100,5754,"Law1"
98.8,5099,"Law2"
98.2,5247,"Law2"
96.9,4910,"Law2"
97.7,4898,"Law2"
95.8,5121,"Law2"
97.3,5263,"Law2"
95.7,5160,"Law2"
91.8,5009,"Law2"
96.5,5627,"Law2"
90.7,2883,"Medicine"
100,4741,"Medicine"
100,3018,"Medicine"
100,4886,"Medicine"
100,2882,"Medicine"
100,4729,"Medicine"
94.4,2577,"Medicine"
99.4,4887,"Medicine"
92,2792,"Medicine"
100,4882,"Medicine"
90.9,2953,"Medicine"
95.2,2979,"Medicine"
100,5661,"Medicine"
99.5,5218,"Medicine"
94.7,2969,"Medicine"
100,5387,"Medicine"
100,5306,"Medicine"
90.9,3119,"Medicine"
100,5404,"Medicine"
82.4,3344,"Music"
85.7,3250,"Music"
73.3,2500,"Music"
81,2100,"Music"
82.6,3575,"Music"
69.2,3238,"Music"
82.4,3203,"Music"
89.2,2988,"Real Estate"
93.1,3108,"Real Estate"
93.9,3325,"Real Estate"
94.6,3368,"Real Estate"
93.8,3168,"Real Estate"
91.7,3372,"Real Estate"
95.3,3494,"Real Estate"
95.1,3682,"Real Estate"
94.5,3863,"Real Estate"
88.1,3210,"Social Sciences1"
86.5,3150,"Social Sciences1"
87.5,3267,"Social Sciences1"
88.7,3304,"Social Sciences1"
90.9,3166,"Social Sciences1"
87.5,3545,"Social Sciences1"
88.6,3442,"Social Sciences1"
89,3550,"Social Sciences1"
93.1,4012,"Social Sciences1"
89.5,3423,"Social Sciences1"
91.5,3311,"Social Sciences1"
94.9,3548,"Social Sciences1"
88.3,3443,"Social Sciences1"
91.3,3493,"Social Sciences1"
87.9,3938,"Social Sciences1"
88.2,3526,"Social Sciences1"
85.6,3409,"Social Sciences1"
84.2,3880,"Social Sciences1"
88,3674,"Social Sciences1"
